,name,lon,lat,number,location,mean_area,mean_prc
449,丰台 - 东丽温泉家园,116.38487099999999,39.854485,15,丰台,27.5,84.11255411255411
450,丰台 - 东亚三环中心,116.37176699999999,39.837021,4,丰台,43.25,87.73057095178497
451,丰台 - 东大街30号院,116.294472,39.856419,3,丰台,85.0,56.66666666666667
452,丰台 - 东大街35号院,116.29335400000001,39.855794,8,丰台,101.0,64.74785095068114
453,丰台 - 东大街6号院,116.298382,39.862883000000004,26,丰台,82.4,65.36857648168075
454,丰台 - 东大街东里,116.295647,39.865352,19,丰台,68.125,65.44176656676656
455,丰台 - 东大街小区,116.294821,39.856474,5,丰台,61.25,67.96266233766234
456,丰台 - 东大街西里,116.29225,39.861644,25,丰台,65.0,68.70740717615718
457,丰台 - 东安街头条,116.28008999999999,39.849551,1,丰台,100.0,52.0
458,丰台 - 东安街头条15号院,116.27820700000001,39.85046,1,丰台,80.0,62.5
459,丰台 - 东木樨园,116.404251,39.85729600000001,13,丰台,62.625,70.45524041600913
460,丰台 - 东滨河路小区,116.373043,39.869701,4,丰台,24.0,94.64285714285714
461,丰台 - 东营里,116.29563700000001,39.855738,9,丰台,71.25,66.7051282051282
462,丰台 - 东营里1号院,116.29991499999998,39.855852,1,丰台,70.0,61.42857142857143
463,丰台 - 东营里2号院,116.29980800000001,39.855269,2,丰台,55.0,63.63636363636363
464,丰台 - 东营里3号院,116.29838400000001,39.855916,2,丰台,70.0,58.57142857142857
465,丰台 - 东营里5号院,116.29611799999999,39.855849,19,丰台,75.375,59.12975912975913
466,丰台 - 东铁营横一条,116.43120400000001,39.856895,7,丰台,51.0,88.84615384615385
467,丰台 - 东高地社区,116.42081,39.807325,2,丰台,50.0,68.0
468,丰台 - 中体奥林匹克花园,116.19220700000001,39.835617,1,丰台,252.0,51.58730158730159
469,丰台 - 中体首站,116.18566499999999,39.833314,3,丰台,62.0,48.38709677419355
470,丰台 - 中国铁建青秀城,116.34062,39.835997,1,丰台,98.0,48.97959183673469
471,丰台 - 中堂,116.278595,39.8808,3,丰台,115.0,68.91666666666666
472,丰台 - 中堂,116.275998,39.882627,3,丰台,115.0,68.91666666666666
473,丰台 - 中堂紫熙台公寓,116.27733300000001,39.881538,5,丰台,194.5,98.27595583836406
474,丰台 - 中奥广场首站,116.18566499999999,39.833314,1,丰台,98.0,40.816326530612244
475,丰台 - 中景未山赋,116.296466,39.884102,2,丰台,144.0,71.9481340923466
476,丰台 - 中海九号公馆,116.29598999999999,39.817889,52,丰台,217.84615384615384,135.2092774996548
477,丰台 - 中海九号公馆一区,116.291269,39.81616500000001,1,丰台,48.0,79.16666666666667
478,丰台 - 中海城二期,116.4474,39.84604,12,丰台,92.66666666666667,86.87223098128369
479,丰台 - 中海城圣朝菲,116.45347,39.838961,41,丰台,623.6842105263158,72.42449809789615
480,丰台 - 中海城紫鑫阁,116.44618600000001,39.846771999999994,46,丰台,54.72222222222222,95.76263793768072
481,丰台 - 中海城风情苑,116.448481,39.843782,29,丰台,99.33333333333333,78.65499664926568
482,丰台 - 中海城香克林,116.44901000000002,39.838509,3,丰台,113.66666666666667,97.0800744232344
483,丰台 - 中海御鑫阁,116.299306,39.818222999999996,96,丰台,48.0,106.69726104399956
484,丰台 - 中海苏黎世家,116.28282800000001,39.818385,48,丰台,80.21428571428571,112.26978086947904
485,丰台 - 丰仪家园,116.227347,39.874023,2,丰台,24.0,98.0
486,丰台 - 丰体时代家园,116.27008799999999,39.866729,1,丰台,130.0,53.84615384615385
487,丰台 - 丰体时代花园,116.27008799999999,39.866729,35,丰台,104.8,56.36379880282319
488,丰台 - 丰体时代花园,116.27028700000001,39.868046,35,丰台,104.8,56.36379880282319
489,丰台 - 丰开苑,116.36841100000001,39.852913,1,丰台,66.0,78.78787878787878
490,丰台 - 丰泽居,116.29086299999999,39.835305,6,丰台,72.0,62.492844132188395
491,丰台 - 丰益城市花园,116.310767,39.859206,15,丰台,80.5,59.66346153846154
492,丰台 - 丰益花园,116.31284199999999,39.861019,68,丰台,91.08695652173913,60.6296181430161
493,丰台 - 丰管路56号院,116.29773,39.85694,8,丰台,105.6,60.49565217391305
494,丰台 - 丰管路甲52号院,116.30099299999999,39.857223,13,丰台,105.0,60.55634126691429
495,丰台 - 丰西北里,116.25263899999999,39.838002,2,丰台,57.5,59.04761904761905
496,丰台 - 丽泽景园,116.306597,39.864549,172,丰台,85.82978723404256,67.90719217298613
497,丰台 - 丽泽雅园,116.322846,39.87073,29,丰台,82.27272727272727,75.56374944156693
498,丰台 - 久敬佳园,116.40808600000001,39.819703000000004,1,丰台,98.0,56.12244897959184
499,丰台 - 云岗北区,116.16563700000002,39.81498,13,丰台,72.5,44.49648962148962
500,丰台 - 云岗南区,116.157379,39.808167,11,丰台,68.7,41.10132833116704
501,丰台 - 云岗田城,116.14666799999999,39.821873,2,丰台,72.5,41.42857142857143
502,丰台 - 云岗西路10号院,116.15559499999999,39.810143,1,丰台,40.0,50.0
503,丰台 - 云岗西路小区,116.15408899999998,39.810275,1,丰台,60.0,43.333333333333336
504,丰台 - 五爱屯西街,116.37745,39.801192,1,丰台,98.0,57.142857142857146
