,lon,lat,name,number
286,116.412138,39.944188,东城 - 方家胡同,25
287,116.443554,39.939801,东城 - 春秀路小区,7
288,116.404652,39.914024,东城 - 普渡寺后巷,1
289,116.424312,39.895448,东城 - 新景家园,211
290,116.402128,39.925626,东城 - 景山东街小区,3
291,116.404742,39.913472,东城 - 普渡寺小区,2
292,116.397917,39.938090,东城 - 方砖厂胡同,2
293,116.414873,39.864504,东城 - 景泰东里,2
294,116.408058,39.863235,东城 - 景泰西里西区,19
295,116.394165,39.864557,东城 - 望陶园,7
297,116.426722,39.918694,东城 - 朝内南小街,62
298,116.425292,39.924470,东城 - 朝阳门内大街,14
299,116.430803,39.923853,东城 - 朝阳首府,18
300,116.429986,39.924734,东城 - 朝阳门内大街79号,3
301,116.420113,39.919804,东城 - 本司胡同,3
302,116.436794,39.896596,东城 - 本家润园,114
303,116.414381,39.868098,东城 - 李村东里,4
304,116.442323,39.885051,东城 - 板厂南里,4
305,116.444458,39.899218,东城 - 忠实里西区,1
306,116.443739,39.886432,东城 - 板厂新里,5
307,116.418583,39.938983,东城 - 板桥胡同,6
308,116.432658,39.956334,东城 - 林达大厦,3
309,116.424272,39.951729,东城 - 柏林寺小区,26
310,116.402299,39.867137,东城 - 民主北街小区,1
311,116.430008,39.942799,东城 - 民安小区,63
312,116.427766,39.951474,东城 - 民旺园,34
313,116.442965,39.888426,东城 - 水上华城,110
314,116.411872,39.873962,东城 - 永内东街东里,5
315,116.403666,39.873434,东城 - 永内东街西里,1
316,116.411240,39.873100,东城 - 永定门东街,6
317,116.399123,39.876629,东城 - 永定门内西街北里,15
318,116.408542,39.946903,东城 - 永康胡同,9
319,116.393093,39.868904,东城 - 永铁苑,1
320,116.413478,39.932220,东城 - 汪芝麻胡同,1
321,116.40381,39.926698,东城 - 沙滩北街小区,5
322,120.528376,37.643588,东城 - 沙滩南巷小区,1
323,116.402128,39.925626,东城 - 沙滩后街小区,9
324,116.42708,39.886101,东城 - 法华南里,3
325,116.42708,39.886101,东城 - 法华寺南里,15
326,116.422513,39.886761,东城 - 法华寺小区,6
327,116.442283,39.938045,东城 - 海晟名苑,131
328,116.441882,39.939752,东城 - 海晟国际公寓,7
329,116.427922,39.935213,东城 - 海运仓,62
330,116.441962,39.939129,东城 - 港湾国际,5
331,116.423271,39.921229,东城 - 演乐胡同,5
332,116.438893,39.929216,东城 - 潘家坡,7
333,116.437847,39.929237,东城 - 潘家坡胡同4号院,8
334,116.433459,39.881996,东城 - 火桥北里,1
335,116.415999,39.918359,东城 - 灯市口小区,31
336,116.419864,39.921278,东城 - 灯草胡同,2
337,116.406700,39.947521,东城 - 灵光胡同,1
338,116.421844,39.947057,东城 - 炮局头条,1
339,116.422594,39.945970,东城 - 炮局胡同,2
340,116.416084,39.914166,东城 - 煤渣胡同,3
341,116.413244,39.922437,东城 - 玉石胡同,1
342,116.438715,39.930995,东城 - 王家园胡同,7
343,116.411121,39.916179,东城 - 王府井大街,1
344,116.409824,39.893421,东城 - 珠市口东大街四合院,2
345,116.437139,39.932839,东城 - 瑞士公寓,46
346,116.414429,39.916995,东城 - 甘雨胡同,2
347,116.414465,39.917161,东城 - 甘雨胡同33号院,2
348,116.43968,39.895516,东城 - 白桥大街24号楼,2
349,116.439802,39.898899,东城 - 白桥苑,3
350,116.418888,39.940245,东城 - 石雀胡同,1
351,116.429397,39.951211,东城 - 砖角楼南里,33
352,116.422165,39.921991,东城 - 礼士胡同,2
353,116.429822,39.917100,东城 - 禄米仓胡同,17
354,116.420967,39.923144,东城 - 禾风相府,39
355,116.427574,39.922967,东城 - 竹杆胡同,6
356,116.39548,39.861831,东城 - 管村26号院,7
357,116.411673,39.946432,东城 - 箭厂胡同,3
358,116.413947,39.937060,东城 - 细管胡同,1
359,116.438224,39.888702,东城 - 绿景苑,77
360,116.441277,39.890418,东城 - 绿景馨园,7
361,116.437462,39.930309,东城 - 美惠大厦,4
362,116.410780,39.925600,东城 - 美术馆东街,13
363,116.408925,39.930650,东城 - 美术馆后街,12
364,116.445696,39.945281,东城 - 胡家园小区,24
365,116.437104,39.890148,东城 - 自由季,4
366,116.420357,39.903568,东城 - 船板胡同,8
367,116.429416,39.896392,东城 - 花市枣苑,143
368,116.412895,39.938906,东城 - 花梗胡同1号院,1
369,116.427409,39.920326,东城 - 芳嘉园,2
370,116.419706,39.905484,东城 - 苏州胡同,11
371,116.423229,39.942537,东城 - 草园胡同,4
372,116.407147,39.939175,东城 - 菊儿胡同,2
373,116.424732,39.885003,东城 - 营房西街,1
374,116.399098,39.932799,东城 - 西吉祥胡同,3
375,116.421855,39.879771,东城 - 西四块玉胡同,1
376,116.414612,39.916232,东城 - 西堂子胡同,2
377,116.422066,39.912101,东城 - 西总布胡同,5
378,116.430725,39.922557,东城 - 西水井胡同,38
379,116.42505,39.885925,东城 - 西营房小区,21
380,116.403547,39.952214,东城 - 西营房胡同9号院,4
381,116.440296,39.896188,东城 - 角湾小区,4
382,116.431505,39.928433,东城 - 豆瓣小区,12
383,116.432043,39.927003,东城 - 豆瓣胡同,10
384,116.400133,39.951011,东城 - 豪威嘉园,3
385,116.417890,39.964890,东城 - 豪威家园,2
386,116.430228,39.910614,东城 - 贡院9号,41
387,116.430330,39.909540,东城 - 贡院西街小区,8
388,116.404212,39.945333,东城 - 车辇店胡同,1
389,116.429010,39.914247,东城 - 赵堂子胡同,8
390,116.419628,39.935802,东城 - 辛寺胡同,2
391,116.446354,39.895371,东城 - 远洋德邑,29
392,116.401318,39.946795,东城 - 郎家胡同,3
393,116.435432,39.940218,东城 - 都会经典大厦,11
394,116.414045,39.895318,东城 - 都市馨园,66
395,116.446470,39.899497,东城 - 金世纪嘉园,2
396,116.433869,39.914035,东城 - 金成建国5号,19
