,lon,lat,name,number,location
4583,116.363692,39.895987,西城 - 长椿街12号院,4,西城
4584,116.363588,39.896508,西城 - 长椿街8号楼,2,西城
4585,116.364496,39.898498,西城 - 长椿街东里,17,西城
4586,116.365032,39.895295,西城 - 长椿街感化胡同,5,西城
4587,116.362261,39.893837,西城 - 长椿里,4,西城
4588,116.355831,39.927653,西城 - 阜成门北大街,10,西城
4589,116.355448,39.927264,西城 - 阜成门北大街15号院,6,西城
4590,116.361146,39.898287,西城 - 长椿街西里,20,西城
4591,116.356277,39.918067,西城 - 阜成门南大街,26,西城
4592,116.351655,39.893312,西城 - 锦上国际公寓,36,西城
4593,116.345267,39.923367,西城 - 阜成门外大街,3,西城
4594,116.386231,39.96438300000001,西城 - 阳光丽景,56,西城
4595,116.376987,39.880502,西城 - 陶然亭小区,1,西城
4596,116.383316,39.884326,西城 - 陶然北岸,90,西城
4597,116.355741,39.947842,西城 - 迈豪时代居,1,西城
4598,116.378156,39.876256,西城 - 陶然湖景,14,西城
4599,116.38786100000002,39.89122,西城 - 韩家胡同,1,西城
4600,116.377669,39.966806,西城 - 马甸南村,16,西城
4601,116.385795,39.97085300000001,西城 - 马甸裕中西里,2,西城
4602,116.361423,39.942387,西城 - 马相西巷,13,西城
4603,116.330965,39.88706,西城 - 马连道中里一区,17,西城
4604,116.33033799999998,39.885212,西城 - 马连道中里三区,3,西城
4605,116.331837,39.874854,西城 - 马连道欣园小区,1,西城
4606,116.378213,39.889359000000006,西城 - 骡马市大街,2,西城
4607,116.326492,39.886181,西城 - 马连道西里,1,西城
4608,116.327445,39.884064,西城 - 馨莲茗园,8,西城
4609,116.380412,39.891757,西城 - 魏染胡同,1,西城
4610,116.383184,39.886697,西城 - 高家寨小区,25,西城
4611,116.360746,39.903262,西城 - 鲍家街,28,西城
4612,116.390458,39.940905,西城 - 鸦儿胡同,5,西城
4613,116.325459,39.887872,西城 - 马连道5号院,5,西城
4614,116.34668,39.875939,西城 - 鸭子桥路,4,西城
4615,116.380616,39.880246,西城 - 黑窑厂西里,36,西城
4616,116.388141,39.944024,西城 - 鼓楼西大街小区,4,西城
4617,116.379259,39.878084,西城 - 龙泉胡同,5,西城
4618,116.377344,39.876398,西城 - 龙爪槐胡同,4,西城
4619,116.543671,39.750147,通州 - BDA样本,5,通州
4620,116.347905,39.87871,西城 - 鸭子桥北里,6,西城
4621,116.693789,39.908917,通州 - BOBO自由城,4,通州
4622,116.683034,39.867733,通州 - DBC加州小镇,4,通州
4623,116.669967,39.881661,通州 - 11站小区,1,通州
4624,116.68219,39.865303,通州 - DBC加州小镇C区,2,通州
4625,116.665149,39.869539,通州 - K2海棠湾,35,通州
4626,116.681215,39.926308,通州 - K2清水湾,14,通州
4627,116.683034,39.867733,通州 - DBC加州小镇B区,1,通州
4628,116.660001,39.886849,通州 - K2玉兰湾,56,通州
4629,116.690455,39.913273,通州 - K2百合湾,9,通州
4630,116.547937,39.754417,通州 - 一世情园,3,通州
4631,116.615349,39.803154,通州 - 11STATION,9,通州
4632,116.34668,39.875939,西城 - 鸭子桥,5,西城
4633,116.686665,39.940063,通州 - 上潞园,8,通州
4634,116.639459,39.87736500000001,通州 - 世爵源墅小区,4,通州
4635,116.635196,39.89468,通州 - 世纪星城,36,通州
4636,116.695455,39.911725,通州 - 三元村,2,通州
4637,116.641527,39.902978,通州 - 万方家园(通州),8,通州
4638,116.689121,39.933834,通州 - 东亚逸品阁,1,通州
4639,116.678971,39.935407,通州 - 东潞苑小区,7,通州
4640,116.632683,39.894255,通州 - 世纪星城长城国际,9,通州
4641,116.682677,39.903958,通州 - 中上园,8,通州
4642,116.543215,39.74389,通州 - 东亚瑞晶苑,2,通州
4643,116.663766,39.905029,通州 - 中仓小区,2,通州
4644,116.668829,39.869552,通州 - 久居雅园,1,通州
4645,116.686481,39.894576,通州 - 乔庄西区,9,通州
4646,116.659669,39.878233,通州 - 云景西里南区,3,通州
4647,116.635247,39.892496,通州 - 世纪星城三期,8,通州
4648,116.679745,39.938447,通州 - 东潞苑小区,7,通州
4649,116.662708,39.875725,通州 - 云景里南大门,10,通州
4650,116.633721,39.872314,通州 - 京洲世家,7,通州
4651,116.686393,39.91294600000001,通州 - 京贸中心,3,通州
4652,116.631957,39.883757,通州 - 京贸国际公馆,2,通州
4653,116.6846,39.919267,通州 - 京贸国际城,29,通州
4654,116.689723,39.920165,通州 - 京贸家园,1,通州
4655,116.625915,39.905282,通州 - 八里桥南街小区,2,通州
4656,116.665184,39.876541,通州 - 云景里,4,通州
4657,116.660297,39.874388,通州 - 公庄小区,2,通州
4658,116.687956,39.915817,通州 - 加华印象街,2,通州
4659,116.682654,39.864893,通州 - 加州小镇,1,通州
4660,116.654621,39.907183,通州 - 北京ONE,6,通州
4661,116.673372,39.901287,通州 - 北小园小区,1,通州
4662,116.636817,39.891131,通州 - 北机家属院,6,通州
4663,116.622618,39.905289,通州 - 京贸国际公寓,1,通州
4664,116.638021,39.90791,通州 - 北苑145号院,5,通州
4665,116.640251,39.908311,通州 - 北苑55号院,12,通州
4666,116.675592,39.940637,通州 - 刘庄新村,8,通州
4667,116.645749,39.895769,通州 - 北苑南路42号院,7,通州
4668,116.720045,39.856624,通州 - 北许场新村,3,通州
4669,116.68553,39.880905,通州 - 华业东方玫瑰,67,通州
4670,116.629958,39.903837,通州 - 华兴园,4,通州
4671,116.697087,39.872321,通州 - 华远铭悦世家,8,通州
4672,116.629958,39.903837,通州 - 华馨园,1,通州
4673,116.545263,39.735736,通州 - 合生世界村E区,22,通州
4674,116.555504,39.739538,通州 - 合生世界花园,9,通州
4675,116.694119,39.891066,通州 - 合生滨江帝景,14,通州
4676,116.63657,39.877925,通州 - 半壁店新村,6,通州
4677,116.665753,39.881412,通州 - 园景西区,4,通州
4678,116.587029,39.767735,通州 - 国风美仑,3,通州
4679,116.64755,39.896743,通州 - 复兴南里,5,通州
4680,116.639633,39.893393,通州 - 天元小区,1,通州
4681,116.668342,39.889306,通州 - 北杨洼小区,1,通州
4682,116.634023,39.904648,通州 - 天时名苑,15,通州
4683,116.651253,39.901154,通州 - 后南仓,3,通州
4684,116.566338,39.798855,通州 - 定海园,7,通州
4685,116.589033,39.771637,通州 - 富力尚悦居,2,通州
4686,116.558341,39.7489,通州 - 宏仁家园,9,通州
4687,116.45571,39.897478,通州 - 富力运河十号公寓,4,通州
4688,116.652749,39.902583,通州 - 富力金禧花园,60,通州
4689,116.696631,39.950965,通州 - 四海公寓,11,通州
4690,116.655261,39.923973,通州 - 富河园碧水明珠,1,通州
4691,116.673886,39.943799,通州 - 富力惠兰美居,16,通州
4692,116.69301000000002,39.934444,通州 - 小潞邑,2,通州
4693,116.648503,39.873318,通州 - 小稿村,2,通州
4694,116.63917,39.92582700000001,通州 - 天赐良园,19,通州
4695,116.64662,39.902722,通州 - 帅府园,4,通州
4696,116.647432,39.90488,通州 - 帅府园二期,2,通州
4697,116.662113,39.871826,通州 - 幸福时光,4,通州
4698,116.637081,39.901193,通州 - 广通小区,11,通州
4699,116.589953,39.816294,通州 - 城市之光·翡翠四季,3,通州
4700,116.665228,39.88962100000001,通州 - 当代名筑家园,8,通州
4701,116.64615,39.887788,通州 - 怡乐北街小区,1,通州
4702,116.644569,39.907915,通州 - 怡佳家园,17,通州
4703,116.658614,39.940002,通州 - 房地远洋·悦山水,1,通州
4704,116.659038,39.911123,通州 - 天桥湾小区,8,通州
4705,116.660094,39.915625,通州 - 新光大中心公寓,51,通州
4706,116.689154,39.876951,通州 - 小街之春,5,通州
4707,116.642559,39.890426,通州 - 新华联家园,57,通州
4708,116.69784,39.907269,通州 - 新华联运河湾,3,通州
4709,116.65885,39.897799,通州 - 新城东里,1,通州
4710,116.659809,39.88325,通州 - 孙王场小区,9,通州
4711,116.69092,39.864342,通州 - 新城乐居,3,通州
4712,116.670847,39.879867,通州 - 新城嘉园,9,通州
4713,116.663414,39.881779,通州 - 新城阳光,26,通州
4714,116.541884,39.756792,通州 - 新海北里,34,通州
4715,116.541142,39.754057,通州 - 新海南里,3,通州
4716,116.695305,39.933702,通州 - 新潮嘉园,8,通州
4717,116.673147,39.882131,通州 - 新通国际花园,27,通州
4718,116.689222,39.872205,通州 - 方恒东景,7,通州
4719,116.642579,39.902257,通州 - 旅游新村,1,通州
4720,116.647308,39.893456,通州 - 日光清城,4,通州
4721,116.668006,39.882126,通州 - 时尚街区东区,9,通州
4722,116.629195,39.900877,通州 - 新华联锦园,18,通州
4723,116.679139,39.920166,通州 - 月亮河城堡,23,通州
4724,116.684372,39.943743,通州 - 李庄新村,4,通州
4725,116.634022,39.890361,通州 - 李老新村,11,通州
4726,116.655277,39.876684,通州 - 新翠景园,11,通州
