,name,area,house_type,floor,price,url,average_price
1264,顺义 - 北京苏活,55.0,2室1厅,2/7,3500,http://m.fang.com/zf/bj/JHAGT_390881287_aa15e49f1becdbb6a951229608ec0bba_165849999.html,63.0
1265,房山 - 北关东路,50.0,2室1厅,2/6,2600,http://m.fang.com/zf/bj/JHAGT_389378616_72d8f5c4243ef43a5fde4c969992385d_160238626.html,52.0
1266,昌平 - 龙锦苑东三区,30.0,3室2厅,4/6,2000,http://m.fang.com/zf/bj/JHAGT_390383799_61aa50c0e19ff6a2751f4701093d04e8_160080648.html,66.0
1267,朝阳 - 秀水园,70.0,2室1厅,6/13,4600,http://m.fang.com/zf/bj/JHAGT_389458247_a93e5ce71c7add89ac8089a60bcee334_164693114.html,65.0
1268,丰台 - 福顺里小区,65.0,1室1厅,15/20,4100,http://m.fang.com/zf/bj/JHAGT_390327734_23b70f26d36e44eef7d5573d23451e26_165750713.html,63.0
1269,丰台 - 丽泽景园,65.0,1室1厅,7/22,4500,http://m.fang.com/zf/bj/JHAGT_390953022_d8d96b9c872e6f5eed66f79687cd3398_165614444.html,69.0
1270,顺义 - 翠竹新村,55.0,1室1厅,5/11,3100,http://m.fang.com/zf/bj/JHAGT_365178808_dbda41caf5424aa2e61c6bb141649474_164137924.html,56.0
1271,丰台 - 望园西里,65.0,2室1厅,4/6,4300,http://m.fang.com/zf/bj/JHAGT_389296272_328b89417e1697a2e8713133e5f41342_164658356.html,66.0
1272,丰台 - 慧时欣园,73.0,1室1厅,13/24,5000,http://m.fang.com/zf/bj/JHAGT_389353395_74c08a64d96971d2c89dee43c8764b9d_165889191.html,68.0
1273,昌平 - 金隅万科城,44.0,1室1厅,14/20,2800,http://m.fang.com/zf/bj/JHAGT_388565504_19415fbee4a7a836c1a257b1250afff0_165104616.html,63.0
1274,朝阳 - 百环花园,38.0,2室1厅,11/29,2300,http://m.fang.com/zf/bj/JHAGT_390307368_20232a9498e5f96da277db50f04ae8f2_164458698.html,60.0
1275,顺义 - 东亚创展国际,77.0,2室1厅,7/13,4800,http://m.fang.com/zf/bj/JHAGT_389929931_09d95f511a6bb0edac5ed8d62ae7e64c_165262089.html,62.0
1276,丰台 - 育仁里,75.0,2室1厅,5/6,4700,http://m.fang.com/zf/bj/JHAGT_390953475_43690770e88c4d4c121d0815a6d50da5_165929753.html,62.0
1277,海淀 - 温泉凯盛家园,60.0,1室1厅,8/15,3500,http://m.fang.com/zf/bj/JHAGT_390953590_46aa4c3065313dfc3830fbfa4119bf5c_160497873.html,58.0
1278,北京周边 - 鼎晟国际,56.0,1室,8/24,3700,http://m.fang.com/zf/bj/JHAGT_390953632_3aad10888ac4015de0afbe3c34973835_165750984.html,66.0
1279,朝阳 - 劲松三区,65.0,2室1厅,2/6,4200,http://m.fang.com/zf/bj/JHAGT_389911131_e659f86c807d487d2e841104bebaa610_165256207.html,64.0
1280,朝阳 - 金泽家园,65.0,1室1厅,10/15,3500,http://m.fang.com/zf/bj/JHAGT_390864894_b82d44736a95403659c3ce68cb499b26_165843098.html,53.0
1281,丰台 - 西马小区,74.0,2室1厅,3/6,5000,http://m.fang.com/zf/bj/JHAGT_390042619_d4102a7e81271eaf50e8d50c37e6ec64_165111821.html,67.0
1282,朝阳 - 甜水园东里,67.0,2室1厅,3/6,4600,http://m.fang.com/zf/bj/JHAGT_389457974_1d1c75aba090fdf7006adc24cc55d206_164693114.html,68.0
1283,朝阳 - 望馨园,40.0,2室2厅,5/5,2700,http://m.fang.com/zf/bj/JHAGT_390444125_826773604027ea7b3cedb754b2010fec_160624879.html,67.0
1284,海淀 - 莲宝路7号院,58.0,1室1厅,3/25,4000,http://m.fang.com/zf/bj/JHAGT_387931715_6e6306e94da174af6114eec10d3e8bea_164686597.html,68.0
1285,石景山 - 中海金石公馆,60.0,1室1厅,6/18,4000,http://m.fang.com/zf/bj/JHAGT_389716292_cd07de8b173c7dde3e24adc226ba9532_164971761.html,66.0
1286,石景山 - 碣石坪小区,55.0,1室1厅,3/24,3200,http://m.fang.com/zf/bj/JHAGT_389716293_98762dad7e4dad3e3d6a141caa7233e0_164971761.html,58.0
1287,石景山 - 中海金石公馆,65.0,1室1厅,13/19,3800,http://m.fang.com/zf/bj/JHAGT_389716285_4c7dadfd6a419ac0d2fde87019b2f26f_164971761.html,58.0
1288,顺义 - 合景香悦四季,33.0,1室1厅,7/12,1800,http://m.fang.com/zf/bj/JHAGT_389005540_aabc67b924af2884f530fc5a635ce935_165192359.html,54.0
1289,西城 - 三里河一区,70.0,1室1厅,18/20,4500,http://m.fang.com/zf/bj/JHAGT_390900848_338c70ad4a9bb532b4a3aaf0de392cb2_165278524.html,64.0
1290,朝阳 - 松榆东里,70.0,2室1厅,3/6,4800,http://m.fang.com/zf/bj/JHAGT_390167931_f7647c23b467e82f046beec064fce17d_165926441.html,68.0
1291,朝阳 - 华龙美树,62.0,1室1厅,7/21,4300,http://m.fang.com/zf/bj/JHAGT_379136093_e769ee06419260c3bd8e4c80a9016dad_160070743.html,69.0
1292,丰台 - 前泥洼,65.0,2室1厅,3/6,4500,http://m.fang.com/zf/bj/JHAGT_389784710_a3686976eb8a66f20760bc590f2e9954_164408413.html,69.0
1293,通州 - 次渠北里,60.0,1室1厅,12/18,3100,http://m.fang.com/zf/bj/JHAGT_390086799_a003d6229e6aacbd1264e670e27f822a_165822506.html,51.0
1294,朝阳 - 福怡苑北区,70.0,2室1厅,-1/6,4000,http://m.fang.com/zf/bj/JHAGT_390226288_c5f0daa9072ac099a1a715e65eed6f4c_160384884.html,57.0
1295,丰台 - 北大街南里小区,70.0,2室1厅,3/6,4100,http://m.fang.com/zf/bj/JHAGT_390166737_c952cf226405d54e281718fbd7614ddf_164408417.html,58.0
1296,丰台 - 新村三里,62.0,2室1厅,3/6,4000,http://m.fang.com/zf/bj/JHAGT_389483733_3881a8373261d6d3d10e0b82b3c561e0_164146054.html,64.0
1297,顺义 - 中景江山赋,52.0,1室1厅,5/7,3400,http://m.fang.com/zf/bj/JHAGT_390553784_bfbd83ceb7d2b1efbe50ce10bd347efd_163401595.html,65.0
1298,昌平 - 天成苑,40.0,1室1厅,4/5,2300,http://m.fang.com/zf/bj/JHAGT_388596530_2156ab4e2475f2730384b95cfeede310_165753350.html,57.0
1299,丰台 - 育芳园,75.0,2室1厅,4/6,4700,http://m.fang.com/zf/bj/JHAGT_389483717_b618c962ab214857b2ab8d6ba0db0c0d_164146054.html,62.0
1300,朝阳 - 鸿博家园,78.0,2室2厅,27/28,5000,http://m.fang.com/zf/bj/JHAGT_390955408_e7efee4cc806f41fe2edf07e4f6e5c21_164722131.html,64.0
1301,朝阳 - 鸿博家园,78.0,2室2厅,6/28,4700,http://m.fang.com/zf/bj/JHAGT_390955416_e7efee4cc806f41fe2edf07e4f6e5c21_164722131.html,60.0
1302,昌平 - 天通苑北一区,50.0,1室,1/5,2900,http://m.fang.com/zf/bj/JHAGT_390157654_6aff0263feed31266efe3cec386bc9f3_164220636.html,58.0
1303,门头沟 - 石门营小区,47.0,1室1厅,1/6,3100,http://m.fang.com/zf/bj/JHAGT_390955520_638468da8097d164335cb0d8d340663d_165811068.html,65.0
1304,朝阳 - 望馨花园,32.0,1室1厅,7/25,2100,http://m.fang.com/zf/bj/JHAGT_390365759_02fc47b67aeedf79816305995a2d43ac_163365219.html,65.0
1305,朝阳 - 花家地小区,75.0,2室1厅,2/6,5200,http://m.fang.com/zf/bj/JHAGT_390471043_e443d104f2e0efa0c356d856e5dbb5e2_163365219.html,69.0
1306,朝阳 - 南湖中园一区,33.0,1室1厅,3/6,1900,http://m.fang.com/zf/bj/JHAGT_390465423_a59b6be181a49cc6d4d3068eba7fdf50_163365219.html,57.0
1307,丰台 - 富卓苑,71.0,2室1厅,5/6,4800,http://m.fang.com/zf/bj/JHAGT_390496017_c9b760124846ad5de1a8b31de86665bf_164798540.html,67.0
1308,丰台 - 富卓苑,78.0,2室1厅,2/6,4000,http://m.fang.com/zf/bj/JHAGT_390496007_a1d4a68a447834bbfe1de4ee8e5663b7_164798540.html,51.0
1309,朝阳 - 花家地北里,65.0,2室1厅,3/20,4500,http://m.fang.com/zf/bj/JHAGT_388414894_d4953bc13bbe21d1693bcf7bb92d9b49_164866623.html,69.0
1310,丰台 - 马家堡西里,75.0,2室1厅,18/18,4200,http://m.fang.com/zf/bj/JHAGT_390496040_da4e556eb861d355bc78ba5ae1ffbef3_164798540.html,56.0
1311,丰台 - 马家堡西里,75.0,2室1厅,5/18,4200,http://m.fang.com/zf/bj/JHAGT_390496052_da4e556eb861d355bc78ba5ae1ffbef3_164798540.html,56.0
1312,丰台 - 西马金润家园,70.0,2室1厅,7/9,4000,http://m.fang.com/zf/bj/JHAGT_390496094_ef5cbe425d5b3c1a5ce206d581e441ba_164798540.html,57.0
1313,丰台 - 西马金润家园,78.0,2室1厅,1/6,4100,http://m.fang.com/zf/bj/JHAGT_390496568_2a34020c1b067d917301db0f9af97070_164798540.html,52.0
1314,门头沟 - 滨河西区皓月园,45.0,1室1厅,3/14,2800,http://m.fang.com/zf/bj/JHAGT_390956021_c7eb80dde78d34590305446d2d319a9e_160091883.html,62.0
1315,昌平 - 马连店家园,70.0,2室1厅,14/28,4700,http://m.fang.com/zf/bj/JHAGT_388425669_e7d2fd1f6a43785c1b4ff79340de7981_164370531.html,67.0
1316,朝阳 - 周庄嘉园,56.0,1室1厅,6/28,3500,http://m.fang.com/zf/bj/JHAGT_390758667_2e440e93c321ca388a587f873cc77f42_165631644.html,62.0
